plantMASST	NCBI_Genome	Transcriptome
Goeppertia leucostachys		
Goeppertia inocephala		
Goeppertia hammelii		
Goeppertia gymnocarpa		
Goeppertia cleistantha		
Gnetum edule		
Gmelina arborea		
Glycyrrhiza uralensis		
Glycyrrhiza lepidota		
Glycyrrhiza glabra		
Glycyrrhiza echinata		
Glycosmis cochinchinensis		
Glycocystis beckeri		
Glycine soja		
Glycine max		
Globularia bisnagarica		
Globba winitii		
Globba schomburgkii		
Globba campsophylla		
Glinus oppositifolius		
Glehnia littoralis		
Gleditsia triacanthos		
Gleditsia sinensis		
Gleditsia japonica		
Glechoma longituba		
Glechoma hederacea		
Gladiolus italicus		
Givotia madagascariensis		
Ginkgo biloba		
Gigantochloa parvifolia		
Gigantochloa albociliata		
Geum urbanum		
Geum rivale		
Geum japonicum		
Geum chiloense		
Getonia floribunda		
Gerbera piloselloides		
Geranium thunbergii		
Geranium robertianum		
Geranium pratense		
Geranium nodosum		
Geranium maculatum		
Gentiana scabra		
Gentiana pubigera		
Gentiana macrophylla		
Gentiana lutea		
Gentiana cephalantha		
Gentiana acaulis		
Genlisea flexuosa		
Genista tinctoria		
Gelsemium sempervirens		
Gelrebia trothae		
Geissospermum laeve		
Geissospermum argenteum		
Gaultheria shallon		
Gaultheria procumbens		
Gaultheria cuneata		
Gaudichaudia albida		
Gastrodia elata		
Gasteria liliputana		
Gardenia obtusifolia		
Gardenia jasminoides		
Garcinia vilersiana		
Garcinia verrucosa		
Garcinia tinctoria		
Garcinia pauciflora		
Garcinia multiflora		
Garcinia mangostana		
Garcinia madruno		
Garcinia macrophylla		
Garcinia lanessanii		
Garcinia intermedia		
Garcinia hanburyi		
Garcinia chapelieri		
Gambeya subnuda		
Galphimia brasiliensis		
Gallesia integrifolia		
Galium verum		
Galium odoratum		
Galium mollugo		
Galium asperifolium		
Galega officinalis		
Fusaea longifolia		
Furcraea foetida		
Fumaria officinalis		
Fuchsia procumbens		
Fritillaria thunbergii		
Fritillaria cirrhosa		
Fridericia chica		
Freziera dudleyi		
Fraxinus retusa		
Fraxinus pennsylvanica		
Fraxinus nigra		
Fraxinus excelsior		
Fraxinus chinensis		
Fraxinus angustifolia		
Fraxinus americana		
Frangula oreodendron		
Frangula longipes		
Frangula caroliniana		
Frangula alnus		
Francoa appendiculata		
Fragaria x ananassa		
Fragaria vesca		
Fragaria orientalis		
Fouquieria macdougalii		
Forsythia suspensa		
Flueggea suffruticosa		
Fleroya stipulosa		
Flemingia wallichii		
Flemingia grahamiana		
Flemingia congesta		
Flagellaria indica		
Flacourtia jangomas		
Flacourtia indica		
Fittonia albivenis		
Fissidens taxifolius		
Fimbristylis dichotoma		
Filipendula vulgaris		
Filipendula ulmaria		
Filago vulgaris		
Ficus tikoua		
Ficus sycomorus		
Ficus racemosa		
Ficus obtusifolia		
Ficus mucuso		
Ficus mexicana		
Ficus maxima		
Ficus hirta		
Ficus globosa		
Ficus exasperata		
Ficus elastica		
Ficus citrifolia		
Ficus carica		
Ficus benghalensis		
Ficus americana		
Ficus altissima		
Festuca rubra		
Festuca pratensis		
Festuca paniculata		
Ferula communis		
Ferula assa-foetida		
Feroniella lucida		
Ferdinandusa chlorantha		
Faurea saligna		
Fargesia robusta		
Faramea occidentalis		
Faramea bangii		
Fallopia multiflora		
Fagus sylvatica		
Fagus grandifolia		
Fagopyrum tataricum		
Fagopyrum esculentum		
Euthamia graminifolia		
Euterpe precatoria		
Euterpe oleracea		
Eurycoma longifolia		
Euptelea pleiosperma		
Eupomatia laurina		
Euphorbia weberbaueri		
Euphorbia verrucosa		
Euphorbia tirucalli		
Euphorbia thymifolia		
Euphorbia stenoclada		
Euphorbia sipolisii		
Euphorbia segetalis		
Euphorbia prostrata		
Euphorbia platyclada		
Euphorbia pervilleana		
Euphorbia peplus		
Euphorbia pekinensis		
Euphorbia ornithopus		
Euphorbia ophthalmica		
Euphorbia obesa		
Euphorbia nicaeensis		
Euphorbia neriifolia		
Euphorbia myrsinites		
Euphorbia milii		
Euphorbia mammillaris		
Euphorbia lathyris		
Euphorbia lagascae		
Euphorbia lactea		
Euphorbia kansui		
Euphorbia jansenvillensis		
Euphorbia ingens		
Euphorbia hyssopifolia		
Euphorbia horrida		
Euphorbia hirta		
Euphorbia helioscopia		
Euphorbia grandicornis		
Euphorbia graminea		
Euphorbia globosa		
Euphorbia fiherenensis		
Euphorbia discolor		
Euphorbia dentata		
Euphorbia dendroides		
Euphorbia cyparissias		
Euphorbia cylindrifolia		
Euphorbia cotinifolia		
Euphorbia characias		
Euphorbia cedrorum		
Euphorbia bubalina		
Euphorbia biumbellata		
Euphorbia balsamifera		
Euphorbia amygdaloides		
Euphorbia ammak		
Euphorbia alluaudii		
Euphorbia aeruginosa		
Euphorbia acanthothamnos		
Euphorbia abdelkuri		
Eupatorium fortunei		
Eupatorium cannabinum		
Euonymus sanguineus		
Euonymus myrianthus		
Euonymus maackii		
Euonymus grandiflorus		
Euonymus frigidus		
Euonymus fortunei		
Euonymus dielsianus		
Euonymus cochinchinensis		
Euonymus bockii		
Euonymus atropurpureus		
Euonymus alatus		
Euodia simplicifolia		
Eugenia uniflora		
Eugenia oerstediana		
Eugenia nesiotica		
Eugenia moraviana		
Eugenia lambertiana		
Eugenia galalonensis		
Eugenia florida		
Eugenia egensis		
Eugenia coloradoensis		
Eugenia brasiliensis		
Eucommia ulmoides		
Eucharis x grandiflora		
Eucalyptus saligna		
Eucalyptus robusta		
Eucalyptus grandis		
Eucalyptus deglupta		
Eucalyptus camaldulensis		
Espeletia weddellii		
Espeletia uribei		
Espeletia ulotricha		
Espeletia tunjana		
Espeletia summapacis		
Espeletia semiglobulata		
Espeletia schultzii		
Espeletia schultesiana		
Espeletia rositae		
Espeletia roberti		
Espeletia praefrontina		
Espeletia pisbana		
Espeletia pescana		
Espeletia paipana		
Espeletia oswaldiana		
Espeletia occidentalis		
Espeletia nemekenei		
Espeletia nana		
Espeletia murilloi		
Espeletia lopezii		
Espeletia killipii		
Espeletia jaramilloi		
Espeletia jajoensis		
Espeletia incana		
Espeletia grandiflora		
Espeletia frontinoensis		
Espeletia formosa		
Espeletia estanislana		
Espeletia episcopalis		
Espeletia dugandii		
Espeletia discoidea		
Espeletia curialensis		
Espeletia cuniculorum		
Espeletia conglomerata		
Espeletia congestiflora		
Espeletia cleefii		
Espeletia cayetana		
Espeletia brassicoidea		
Espeletia brachyaxiantha		
Espeletia boyacensis		
Espeletia barclayana		
Espeletia azucarina		
Espeletia aristeguietana		
Espeletia ariana		
Espeletia argentea		
Espeletia arbelaezii		
Espeletia annemariana		
Eschweilera coriacea		
Eschscholzia californica		
Erythroxylum subrotundum		
Erythroxylum coca		
Erythroxylum citrifolium		
Erythrophleum suaveolens		
Erythrina stricta		
Erythrina herbacea		
Erythrina fusca		
Erythranthe guttata		
Erythranthe cardinalis		
Erysimum cheiri		
Eryngium yuccifolium		
Eryngium planum		
Eryngium foetidum		
Erycibe obtusifolia		
Eruca vesicaria		
Eriotheca macrophylla		
Eriophyllum lanatum		
Eriocaulon sexangulare		
Eriobotrya japonica		
Erigeron canadensis		
Erigeron breviscapus		
Erigeron acris		
Eremophila youngii		
Eremophila yinnetharrensis		
Eremophila willsii		
Eremophila weldii		
Eremophila warnesii		
Eremophila viscida		
Eremophila virens		
Eremophila verticillata		
Eremophila veronica		
Eremophila undulata		
Eremophila tietkensii		
Eremophila tetraptera		
Eremophila ternifolia		
Eremophila succinea		
Eremophila subteretifolia		
Eremophila subfloccosa		
Eremophila sturtii		
Eremophila strongylophylla		
Eremophila stenophylla		
Eremophila spuria		
Eremophila splendens		
Eremophila spectabilis		
Eremophila spathulata		
Eremophila simulans		
Eremophila shonae		
Eremophila scoparia		
Eremophila scaberula		
Eremophila sargentii		
Eremophila saligna		
Eremophila rugosa		
Eremophila rotundifolia		
Eremophila rostrata		
Eremophila rigida		
Eremophila rigens		
Eremophila rhegos		
Eremophila retropila		
Eremophila reticulata		
Eremophila recurva		
Eremophila ramiflora		
Eremophila racemosa		
Eremophila pustulata		
Eremophila purpurascens		
Eremophila punicea		
Eremophila pungens		
Eremophila punctata		
Eremophila pterocarpa		
Eremophila prostrata		
Eremophila prolata		
Eremophila praecox		
Eremophila polyclada		
Eremophila platythamnos		
Eremophila platycalyx		
Eremophila physocalyx		
Eremophila phyllopoda		
Eremophila phillipsii		
Eremophila petrophila		
Eremophila perglandulosa		
Eremophila pentaptera		
Eremophila parvifolia		
Eremophila papillata		
Eremophila pantonii		
Eremophila pallida		
Eremophila paisleyi		
Eremophila ovata		
Eremophila oppositifolia		
Eremophila oldfieldii		
Eremophila occidens		
Eremophila obovata		
Eremophila oblonga		
Eremophila obliquisepala		
Eremophila neglecta		
Eremophila muelleriana		
Eremophila mitchellii		
Eremophila mirabilis		
Eremophila miniata		
Eremophila microtheca		
Eremophila micrantha		
Eremophila metallicorum		
Eremophila margarethae		
Eremophila malacoides		
Eremophila maitlandii		
Eremophila magnifica		
Eremophila maculata		
Eremophila macmillaniana		
Eremophila mackinlayi		
Eremophila macgillivrayi		
Eremophila macdonnellii		
Eremophila lucida		
Eremophila longifolia		
Eremophila linsmithii		
Eremophila linearis		
Eremophila lehmanniana		
Eremophila latrobei		
Eremophila lanceolata		
Eremophila lachnocalyx		
Eremophila laanii		
Eremophila koobabbiensis		
Eremophila jucunda		
Eremophila ionantha		
Eremophila interstans		
Eremophila incisa		
Eremophila hygrophana		
Eremophila humilis		
Eremophila hughesii		
Eremophila homoplastica		
Eremophila hillii		
Eremophila granitica		
Eremophila grandiflora		
Eremophila goodwinii		
Eremophila glutinosa		
Eremophila glandulifera		
Eremophila glabra		
Eremophila gilesii		
Eremophila gibsonii		
Eremophila gibbosa		
Eremophila gibbifolia		
Eremophila georgei		
Eremophila galeata		
Eremophila freelingii		
Eremophila fraseri		
Eremophila forrestii		
Eremophila foliosissima		
Eremophila flaccida		
Eremophila flabellata		
Eremophila fasciata		
Eremophila fallax		
Eremophila falcata		
Eremophila exilifolia		
Eremophila eriocalyx		
Eremophila enata		
Eremophila elderi		
Eremophila duttonii		
Eremophila divaricata		
Eremophila dichroantha		
Eremophila deserti		
Eremophila denticulata		
Eremophila densifolia		
Eremophila dendritica		
Eremophila dempsteri		
Eremophila demissa		
Eremophila delisseri		
Eremophila decussata		
Eremophila decipiens		
Eremophila debilis		
Eremophila dalyana		
Eremophila cuneifolia		
Eremophila cryptothrix		
Eremophila crenulata		
Eremophila crassifolia		
Eremophila conglomerata		
Eremophila congesta		
Eremophila conferta		
Eremophila compressa		
Eremophila complanata		
Eremophila compacta		
Eremophila clavata		
Eremophila clarkei		
Eremophila ciliata		
Eremophila chamaephila		
Eremophila caperata		
Eremophila canaliculata		
Eremophila campanulata		
Eremophila calorhabdos		
Eremophila calcicola		
Eremophila caespitosa		
Eremophila caerulea		
Eremophila buirchellii		
Eremophila brevifolia		
Eremophila bowmanii		
Eremophila biserrata		
Eremophila bignoniiflora		
Eremophila behriana		
Eremophila battii		
Eremophila ballythunnensis		
Eremophila aureivisca		
Eremophila arenaria		
Eremophila arbuscula		
Eremophila arachnoides		
Eremophila appressa		
Eremophila anomala		
Eremophila annosocaulis		
Eremophila alternifolia		
Eremophila adenotricha		
Eremophila acrida		
Eremophila abietina		
Eremogone saxatilis		
Eremanthus veadeiroensis		
Eremanthus syncephalus		
Eremanthus reticulatus		
Eremanthus polycephalus		
Eremanthus mollis		
Eremanthus incanus		
Eremanthus goyazensis		
Eremanthus crotonoides		
Eremanthus capitatus		
Eremanthus argenteus		
Eragrostis curvula		
Equisetum hyemale		
Epipremnum aureum		
Epiphyllum oxypetalum		
Epimedium koreanum		
Epimedium brevicornu		
Ephedra viridis		
Ephedra sinica		
Ephedra equisetina		
Ephedra distachya		
Eperua falcata		
Enterolobium contortisiliquum		
Entandrophragma utile		
Entandrophragma candollei		
Entada gigas		
Ensete ventricosum		
Enkleia malaccensis		
Enkianthus quinqueflorus		
Endopleura uchi		
Endlicheria szyszylowiczii		
Encephalartos altensteinii		
Emilia sonchifolia		
Emblica officinalis		
Embelia basaal		
Elsholtzia fruticosa		
Elsholtzia ciliata		
Eleutherococcus sessiliflorus		
Eleutherococcus senticosus		
Eleutherine bulbosa		
Eleusine coracana		
Elettaria cardamomum		
Elegia thyrsoidea		
Elaeodendron schweinfurthianum		
Elaeagnus umbellata		
Elaeagnus angustifolia		
Elaeagia mariae		
Ehretia microcalyx		
Ehretia cymosa		
Edgeworthia gardneri		
Edgeworthia chrysantha		
Edgeworthia albiflora		
Ectopopterys soejartoi		
Eclipta prostrata		
Echium vulgare		
Echinops sphaerocephalus		
Echinops latifolius		
Echinochloa crus-galli		
Echinacea purpurea		
Echinacea pallida		
Echinacea angustifolia		
Echeveria pulvinata		
Dystaenia takeshimana		
Dysphania graveolens		
Dysphania ambrosioides		
Duranta erecta		
Duguetia surinamensis		
Duguetia stelechantha		
Duguetia marcgraviana		
Duguetia lanceolata		
Duguetia flagellaris		
Dryopteris filix-mas		
Dryopteris crassirhizoma		
Dryopteris celsa		
Dryobalanops aromatica		
Drosera burmannii		
Drosera binata		
Dracontium polyphyllum		
Dracocephalum officinale		
Dracaena draco		
Dracaena cochinchinensis		
Dracaena cambodiana		
Dracaena arborea		
Dracaena angustifolia		
Dovyalis caffra		
Donax grandis		
Dombeya lucida		
Dombeya greveana		
Dolomiaea costus		
Dolichandrone spathacea		
Dolichandrone columnaris		
Dodonaea viscosa		
Disporum flavens		
Dischidia nummularia		
Dischidia major		
Dipteryx oleifera		
Dipteryx odorata		
Dipteronia sinensis		
Dipterocarpus turbinatus		
Dipterocarpus tuberculatus		
Dipterocarpus retusus		
Dipsacus inermis		
Dipsacus fullonum		
Dipsacus atropurpureus		
Dipsacus asperoides		
Diplopterys pubipetala		
Diplazium esculentum		
Diospyros virginiana		
Diospyros pilosanthera		
Diospyros lotus		
Diospyros kaki		
Diospyros discolor		
Diospyros crassiflora		
Diospyros cathayensis		
Dioscorea tokoro		
Dioscorea polystachya		
Dioscorea hispida		
Dioscorea communis		
Dioon edule		
Diocirea violacea		
Diocirea microphylla		
Dimocarpus longan		
Dillenia philippinensis		
Dillenia pentagyna		
Dillenia obovata		
Dillenia indica		
Dillenia hookeri		
Digitaria exilis		
Digitalis purpurea		
Digitalis lutea		
Dieffenbachia seguine		
Didymopanax vinosus		
Dictamnus dasycarpus		
Dictamnus albus		
Dicksonia antarctica		
Dichrocephala integrifolia		
Dichrocephala benthamii		
Dichanthelium oligosanthes		
Dicella macroptera		
Dicella bracteosa		
Dianthus sylvestris		
Dianthus chinensis		
Dianthus caryophyllus		
Diacidia aracaensis		
Desplatsia dewevrei		
Desmopsis panamensis		
Desmodium canadense		
Desmanthus illinoensis		
Derris elliptica		
Dendrolobium lanceolatum		
Dendrocnide moroides		
Dendrobium officinale		
Dendrobium moniliforme		
Deguelia nitidula		
Decaisnea fargesii		
Davallia tyermanii		
Daucus carota		
Datura stramonium		
Datura metel		
Dasymaschalon rostratum		
Dasiphora fruticosa		
Daphniphyllum oldhamii		
Daphne tangutica		
Daphne retusa		
Daphne pseudomezereum		
Daphne pontica		
Daphne papyracea		
Daphne odora		
Daphne kiusiana		
Daphne jezoensis		
Daphne holosericea		
Daphne giraldii		
Daphne genkwa		
Daphne gemmata		
Daphne feddei		
Daphne depauperata		
Daphne bholua		
Daphne aurantiaca		
Daphne acutiloba		
Dalea mollis		
Dalbergia stipulacea		
Dalbergia odorifera		
Dalbergia nigrescens		
Dalbergia ecastaphyllum		
Dalbergia dongnaiensis		
Dahlia pinnata		
Dactylis glomerata		
Dacrydium elatum		
Cytisus scoparius		
Cytisus nigricans		
Cystopteris protrusa		
Cyrtomium falcatum		
Cypripedium reginae		
Cyperus rotundus		
Cyperus papyrus		
Cyperus esculentus		
Cyperus diffusus		
Cyperus alternifolius		
Cynomorium songaricum		
Cynoglossum officinale		
Cynoglossum lanceolatum		
Cynoglossum amabile		
Cynodon transvaalensis		
Cynara cardunculus		
Cynanchum wilfordii		
Cynanchum mahafalense		
Cymbopogon citratus		
Cydonia oblonga		
Cycloloma atriplicifolium		
Cyclocarya paliurus		
Cycas siamensis		
Cycas circinalis		
Cyathula prostrata		
Cuscuta chinensis		
Curcuma zedoaria		
Curcuma phaeocaulis		
Curcuma longa		
Curcuma alismatifolia		
Curculigo orchioides		
Cupressus sempervirens		
Cupressus duclouxiana		
Cuphea ignea		
Cuphea carthagenensis		
Cupania seemannii		
Cunonia capensis		
Cullen corylifolium		
Cucurbita pepo		
Cucurbita moschata		
Cucurbita melopepo		
Cucurbita maxima		
Cucurbita argyrosperma		
Cucumis sativus		
Cucumis melo		
Ctenodon viscidulus		
Ctenidium molluscum		
Cryptostegia madagascariensis		
Cryptomeria japonica		
Croton thorelii		
Croton rusbyi		
Croton meridionalis		
Croton mavoravina		
Croton matourensis		
Croton cajucara		
Crotalaria sagittalis		
Crotalaria retusa		
Crotalaria pallida		
Crotalaria laevigata		
Crotalaria grevei		
Crotalaria fiherenensis		
Crocus sativus		
Crinum firmifolium		
Crescentia cujete		
Crepis biennis		
Cremastra appendiculata		
Craterispermum laurinum		
Crataegus sanguinea		
Crataegus pinnatifida		
Crataegus monogyna		
Crataegus laevigata		
Crassula rupestris		
Crassula argentea		
Crambe kilimandscharica		
Crambe hispanica		
Coutarea hexandra		
Coussarea curvigemmia		
Cotoneaster mongolicus		
Cotinus coggygria		
Cota tinctoria		
Costus spicatus		
Costus scaber		
Costus malortieanus		
Costus laevis		
Costus dubius		
Costus arabicus		
Costus afer		
Cosmos bipinnatus		
Coscinium fenestratum		
Corynanthe pachyceras		
Corymbia citriodora		
Corylus ferox		
Corylus cornuta		
Corylus avellana		
Corylus americana		
Corylopsis multiflora		
Corydalis yanhusuo		
Corydalis turtschaninovii		
Corydalis ternata		
Corokia cotoneaster		
Cornus sanguinea		
Cornus officinalis		
Cornus nuttallii		
Cornus mas		
Cornus florida		
Cornus drummondii		
Cornus amomum		
Cornus alternifolia		
Cormus domestica		
Corispermum americanum		
Coriandrum sativum		
Coreopsis tinctoria		
Coreopsis lanceolata		
Cordyline fruticosa		
Cordia ucayaliensis		
Cordia lasiocalyx		
Cordia ecalyculata		
Cordia alliodora		
Corchorus olitorius		
Corchorus capsularis		
Coptis omeiensis		
Coptis japonica		
Copaifera salikounda		
Copaifera langsdorffii		
Convallaria majalis		
Connarus semidecandrus		
Connarus perrottetii		
Connarus cochinchinensis		
Conium maculatum		
Conioselinum tenuissimum		
Conioselinum officinale		
Condea verticillata		
Condaminea corymbosa		
Conceveiba guianensis		
Commiphora simplicifolia		
Commiphora myrrha		
Commiphora monstruosa		
Commiphora lamii		
Commiphora brevicalyx		
Commiphora aprevalii		
Commelina diffusa		
Combretum quadrangulare		
Combretum indicum		
Combretum grandidieri		
Combretum coccineum		
Colubrina spinosa		
Colubrina asiatica		
Colubrina arborescens		
Colona auriculata		
Colocasia esculenta		
Coleus amboinicus		
Cola nitida		
Coix lacryma-jobi		
Coffea canephora		
Coffea arabica		
Codonopsis pilosula		
Codonopsis lanceolata		
Codariocalyx gyroides		
Cocos nucifera		
Cochliostema odoratissimum		
Cocculus trilobus		
Coccoloba mollis		
Coccinia grandis		
Cobaea scandens		
Clusia trochiformis		
Clusia rosea		
Clusia multiflora		
Clusia ducu		
Clivia miniata		
Clitoria ternatea		
Clinopodium vulgare		
Clinopodium megalanthum		
Cliftonia monophylla		
Clibadium sylvestre		
Clethra revoluta		
Clethra peruviana		
Clethra ferruginea		
Clethra cuneata		
Clethra cardenasii		
Clerodendrum yunnanense		
Clerodendrum paniculatum		
Clerodendrum indicum		
Clerodendrum chinense		
Clematis vitalba		
Clematis meyeniana		
Clematis chrysocoma		
Clematis chinensis		
Clematis brevicaudata		
Clematis apiifolia		
Clematis alpina		
Cleistocactus winteri		
Cleistanthus tomentosus		
Clausena wallichii		
Clarkia amoena		
Clarisia racemosa		
Clarisia biflora		
Cladrastis kentukea		
Citrus x limon		
Citrus x aurantium		
Citrus x aurantiifolia		
Citrus unshiu		
Citrus trifoliata		
Citrus sinensis		
Citrus reticulata		
Citrus limonia		
Citrus japonica		
Citrus hystrix		
Citrus cavaleriei		
Citrus bergamia		
Citrullus lanatus		
Citrullus colocynthis		
Cistus laurifolius		
Cistus creticus		
Cistanthe grandiflora		
Cistanche deserticola		
Cissus verticillata		
Cissus rotundifolia		
Cissus repanda		
Cirsium rivulare		
Cirsium pitcheri		
Cirsium japonicum		
Cirsium arvense		
Cinnamomum verum		
Cinnamomum camphora		
Cinnamomum burmanni		
Cinnamomum aromaticum		
Cinchona pubescens		
Cinchona calisaya		
Cichorium intybus		
Cichorium endivia		
Cicerbita muralis		
Cicer arietinum		
Cibotium barometz		
Chuquiraga spinosa		
Chrysopogon zizanioides		
Chrysophyllum gonocarpum		
Chrysanthemum zawadzkii		
Chrysanthemum x morifolium		
Chrysanthemum indicum		
Chronopappus bifrons		
Chromolaena odorata		
Christianella multiglandulosa		
Chresta sphaerocephala		
Chresta pycnocephala		
Chresta plantaginifolia		
Chresta exsucca		
Chlorophytum minor		
Chlorogalum pomeridianum		
Chloranthus holostegius		
Chionanthus virginicus		
Chenopodium quinoa		
Chelonanthus alatus		
Chelidonium majus		
Cheiloclinium cognatum		
Cheilanthes argentea		
Chamaenerion angustifolium		
Chamaemelum nobile		
Chamaedorea metallica		
Chamaecrista diphylla		
Chadsia grevei		
Cereus peruvianus		
Cercocarpus ledifolius		
Cercis canadensis		
Cercidiphyllum japonicum		
Cerbera venenifera		
Cerbera manghas		
Ceratozamia mexicana		
Ceratophyllum demersum		
Ceratonia siliqua		
Cerastium alpinum		
Cephalotaxus harringtonia		
Cephalostachyum virgatum		
Cephalanthus occidentalis		
Centella asiatica		
Centaurea stoebe		
Centaurea montana		
Centaurea jacea		
Centaurea cyanus		
Centaurea benedicta		
Cenchrus unisetus		
Cenchrus americanus		
Celtis tenuifolia		
Celtis schippii		
Celtis occidentalis		
Celtis australis		
Celosia argentea		
Celastrus paniculatus		
Celastrus orbiculatus		
Ceiba speciosa		
Ceiba samauma		
Ceiba pentandra		
Ceiba boliviana		
Cedrelopsis grevei		
Cedrela fissilis		
Cecropia tacuna		
Cecropia palmata		
Cecropia pachystachya		
Cecropia obtusa		
Cecropia insignis		
Cecropia angustifolia		
Ceanothus americanus		
Cavendishia bracteata		
Cavanillesia platanifolia		
Causonis trifolia		
Caucalis platycarpos		
Catharanthus scitulus		
Catharanthus roseus		
Catharanthus ovalis		
Catharanthus lanceus		
Catha edulis		
Casuarina equisetifolia		
Castanopsis purpurella		
Castanopsis piriformis		
Castanopsis indica		
Castanea mollissima		
Castanea dentata		
Castanea crenata		
Cassipourea elliptica		
Cassia javanica		
Cassia grandis		
Casimiroa edulis		
Casearia pitumba		
Casearia grewiifolia		
Casearia gossypiosperma		
Casearia bicolor		
Casearia arborea		
Caryota urens		
Carya tomentosa		
Carya texana		
Carya ovata		
Carya illinoinensis		
Carya glabra		
Carya cordiformis		
Carya alba		
Carum carvi		
Carthamus tinctorius		
Carpinus betulus		
Carpesium abrotanoides		
Carolus chasei		
Carludovica palmata		
Carissa bispinosa		
Cariniana ianeirensis		
Carica papaya		
Careya arborea		
Carex tenera		
Carex scirpoidea		
Carex baccans		
Carduus defloratus		
Cardamine pratensis		
Carapichea ipecacuanha		
Carapa guianensis		
Carallia brachiata		
Caragana rosea		
Capsicum frutescens		
Capsicum chinense		
Capsicum baccatum		
Capsicum annuum		
Capparis spinosa		
Capparidastrum frondosum		
Capitanopsis cloiselii		
Capitanopsis angustifolia		
Cannabis sativa		
Canna tuerckheimii		
Canna indica		
Canistrum seidelianum		
Canella winterana		
Canavalia gladiata		
Canarium schweinfurthii		
Canarium album		
Cananga brandisiana		
Campyloneurum phyllitidis		
Campsis grandiflora		
Campanula rotundifolia		
Campanula patula		
Camellia sinensis		
Camellia japonica		
Camelina sativa		
Camarea affinis		
Calyptranthes concinna		
Calycophyllum spruceanum		
Calycanthus floridus		
Calycanthus chinensis x Calycanthus floridus		
Calophyllum longifolium		
Calophyllum inophyllum		
Calophyllum brasiliense		
Caloncoba welwitschii		
Calluna vulgaris		
Callistephus chinensis		
Calliergonella cuspidata		
Callicarpa bodinieri		
Callicarpa americana		
Calliandra haematocephala		
Callaeum psilophyllum		
Callaeum antifebrile		
Calendula officinalis		
Calceolaria crenatiflora		
Calathea similis		
Calathea lutea		
Calathea lasiostachya		
Calathea crotalifera		
Calamus salicifolius		
Calamus deerratus		
Calamphoreus inflatus		
Calamagrostis canadensis		
Cajanus cajan		
Caesalpinia pulcherrima		
Cadaba virgata		
Cabralea canjerana		
Byttneria aspera		
Byrsonima verbascifolia		
Byrsonima spicata		
Byrsonima sericea		
Byrsonima ligustrifolia		
Byrsonima intermedia		
Byrsonima crassifolia		
Byrsonima coccolobifolia		
Buxus sempervirens		
Butea superba		
Butea monosperma		
Bursera fagaroides		
Bupleurum rotundifolium		
Bupleurum falcatum		
Buphthalmum salicifolium		
Bunchosia pallescens		
Bunchosia montana		
Bunchosia glandulifera		
Buglossoides arvensis		
Buddleja officinalis		
Buddleja madagascariensis		
Buchanania reticulata		
Buchanania latifolia		
Bryonia cretica		
Brunfelsia grandiflora		
Brunellia boliviana		
Bruguiera cylindrica		
Brugmansia suaveolens		
Brucea javanica		
Brownea coccinea		
Browallia americana		
Broussonetia papyrifera		
Brosimum lactescens		
Brosimum guianense		
Brosimum alicastrum		
Brosimum acutifolium		
Bronwenia megaptera		
Breynia vitis-idaea		
Breynia fruticosa		
Brassica rapa		
Brassica oleracea		
Brassica nigra		
Brassica napus		
Brassica juncea		
Brassica cretica		
Brassica carinata		
Brahea edulis		
Brachythecium rutabulum		
Brachypterum scandens		
Brachypodium distachyon		
Bowiea volubilis		
Bouteloua gracilis		
Bougainvillea spectabilis		
Bougainvillea modesta		
Boswellia sacra		
Boscia longifolia		
Borassus flabellifer		
Borago officinalis		
Bontia daphnoides		
Bombax ceiba		
Bombax anceps		
Boerhavia diffusa		
Boehmeria nivea		
Blitum nuttallianum		
Blighia sapida		
Bletilla striata		
Blepharandra hypoleuca		
Blepharandra heteropetala		
Blanchetia heterotricha		
Blakea multiflora		
Bixa orellana		
Bistorta officinalis		
Bistorta manshuriensis		
Bismarckia nobilis		
Bischofia polycarpa		
Bischofia javanica		
Bignonia uleana		
Bidens tripartita		
Bidens pilosa		
Biancaea sappan		
Biancaea decapetala		
Betula pubescens		
Betula populifolia		
Betula platyphylla		
Betula pendula		
Betula papyrifera		
Betula neoalaskana		
Betula glandulosa		
Betula alleghaniensis		
Betonica officinalis		
Beta vulgaris		
Bertholletia excelsa		
Berchemiella berchemiifolia		
Berchemia yunnanensis		
Berchemia sinica		
Berchemia lineata		
Berchemia kulingensis		
Berchemia huana		
Berchemia hirtella		
Berchemia floribunda		
Berberis thunbergii		
Berberis sibirica		
Berberis julianae		
Berberis aquifolium		
Benincasa hispida		
Bellis perennis		
Bejaria aestuans		
Beilschmiedia tovarensis		
Beilschmiedia pendula		
Begonia palmata		
Beaucarnea recurvata		
Bauhinia viridescens		
Bauhinia variegata		
Bauhinia tomentosa		
Bauhinia purpurea		
Bauhinia galpinii		
Bauhinia forficata		
Bauhinia bracteata		
Bathysa australis		
Bassia scoparia		
Basella alba		
Baptisia tinctoria		
Banisteriopsis vernoniifolia		
Banisteriopsis variabilis		
Banisteriopsis stellaris		
Banisteriopsis parviglandula		
Banisteriopsis padifolia		
Banisteriopsis muricata		
Banisteriopsis megaphylla		
Banisteriopsis malifolia		
Banisteriopsis laevifolia		
Banisteriopsis harleyi		
Banisteriopsis campestris		
Banisteriopsis caapi		
Banisteriopsis argyrophylla		
Banisteriopsis anisandra		
Banisteriopsis adenopoda		
